SEASON,PLAYER_ID_combine,TEAM_ABBREVIATION,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PTS,REB,STL,TOV
2014,203930,MIN,Sean Kilpatrick,SG,74.5,76.25,218.7,79.0,99.0,9.2,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.3,3.3,1.0,0.308,5.0,1.8,0.35,1.0,1.0,1.0,0.3,0.8,5.5,1.5,0.8,0.5
2014,203945,CLE,Alex Kirk,PF,81.25,82.75,252.0,87.5,109.5,13.6,9.25,10.5,28.5,31.5,11.2,3.19,3.48,,0.0,0.6,0.6,0.8,0.8,,,,,,0.6,0.6,0.4,0.2,0.2,0.5,0.8333333333333334,0.3333333333333333,,,,0.675,,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.25,0.4,0.4,1.0,0.2,0.2,0.8,0.2,0.0,0.0
2014,203897,MIN,Zach LaVine,PG,76.5,77.75,180.9,80.25,100.0,4.7,8.25,8.75,33.5,41.5,10.42,2.8,3.19,,,,,,,0.2,0.6,0.6,0.8,0.4,0.6,0.6,0.4,0.4,0.8,0.6666666666666666,0.8333333333333334,0.8333333333333334,,,,0.65625,,3.6,0.1,2.4,2.2,0.7,0.341,8.8,3.7,0.42200000000000004,2.3,1.9,0.8420000000000001,0.4,2.1,10.1,2.8,0.7,2.5
2014,203906,ORL,Devyn Marble,SG,77.0,78.5,192.4,81.0,102.0,6.9,8.25,8.5,29.0,35.0,11.32,3.08,3.28,,,,,,,0.6,0.4,1.0,0.6,0.6,0.8,0.8,0.8,0.8,0.0,0.3333333333333333,0.5,0.6666666666666666,,,,0.48717948717948717,,1.1,0.1,1.6,1.4,0.3,0.182,2.8,0.9,0.318,1.0,0.3,0.313,0.3,0.9,2.3,1.9,0.6,0.6
2014,203949,GSW,James McAdoo,PF,79.5,80.75,227.6,86.25,106.5,6.15,9.25,9.0,29.5,34.0,11.61,2.91,3.28,,0.8,0.6,0.8,0.0,0.8,,,,,,0.6,0.0,0.4,0.4,0.4,0.5,0.3333333333333333,0.6666666666666666,,,,0.5208333333333334,,0.1,0.6,1.5,0.0,0.0,0.0,2.9,1.6,0.545,1.7,0.9,0.56,1.0,1.4,4.1,2.5,0.3,0.4
2014,203909,PHI,K.J. McDaniels,SF,76.5,78.0,195.6,83.25,102.0,4.45,8.75,9.75,33.0,37.0,12.71,3.2,3.1,,,,,,,0.6,0.8,0.6,0.6,0.8,0.4,0.6,0.4,0.0,0.2,0.6666666666666666,0.5,0.6666666666666666,,,,0.5897435897435898,,1.3,1.3,2.5,2.8,0.8,0.293,8.1,3.2,0.39899999999999997,2.5,1.9,0.7559999999999999,1.2,2.3,9.2,3.8,0.8,2.0
2014,203926,CHI,Doug McDermott,SF,78.25,79.75,218.0,81.25,103.0,7.1,8.75,9.75,28.5,36.5,11.1,3.15,3.29,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,1.0,1.1,0.4,0.317,3.0,1.2,0.402,0.4,0.3,0.667,0.2,0.8,3.0,1.2,0.1,0.5
2014,203895,PHX,Jordan McRae,SG,75.75,77.25,179.4,84.5,104.0,5.2,8.75,8.5,27.5,34.5,11.07,3.15,3.39,,,,,,,0.8,0.8,0.6,0.8,0.8,0.4,0.4,0.6,0.8,0.8,0.5,0.6666666666666666,0.6666666666666666,,,,,0.8235294117647058,1.4,0.0,0.9,1.6,0.4,0.273,3.7,1.6,0.423,2.1,1.7,0.8,0.3,1.0,5.3,1.1,0.4,0.9
2014,203894,MIA,Shabazz Napier,PG,71.0,73.0,175.2,75.25,93.0,7.35,8.25,8.5,30.5,37.5,11.6,3.13,3.2,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.1,1.9,2.3,0.8,0.364,4.5,1.7,0.382,1.1,0.9,0.7859999999999999,0.3,1.5,5.1,2.2,0.8,1.6
2014,203948,MIL,Johnny O?Bryant III,PF,79.25,80.5,256.8,86.25,105.0,10.75,9.25,9.5,31.0,35.5,11.57,3.32,3.45,,0.6,0.6,0.4,0.4,0.8,,,,,,0.8,0.2,0.4,0.8,0.2,0.5,0.5,0.5,,,,0.6388888888888888,,0.5,0.1,1.1,0.0,0.0,0.0,3.5,1.3,0.36700000000000005,0.8,0.4,0.444,0.8,1.3,2.9,1.9,0.1,0.7
2014,203934,ATL,Lamar Patterson,SG,76.0,77.25,226.0,83.0,101.0,10.75,9.0,9.25,27.5,32.5,11.63,3.13,3.45,,,,,,,0.8,0.2,0.6,0.8,0.6,1.0,0.8,0.2,0.8,0.2,0.8333333333333334,0.5,0.6666666666666666,,,,0.6571428571428571,,1.1,0.1,1.3,1.4,0.3,0.245,2.3,0.8,0.35,0.6,0.5,0.727,0.1,1.3,2.4,1.4,0.3,0.7
2014,203940,ATL,Adreian Payne,PF,81.0,81.75,238.5,88.0,109.0,7.55,9.25,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.3,0.0,0.0,2.3,0.7,0.28600000000000003,0.7,0.3,0.5,0.3,1.3,1.7,1.3,0.3,0.0
2014,203901,ORL,Elfrid Payton,PG,74.5,75.75,185.4,80.0,98.5,5.65,8.75,9.0,31.5,35.5,11.06,2.92,3.23,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.2,3.0,0.5,0.1,0.262,8.6,3.7,0.425,2.6,1.4,0.551,1.3,2.4,8.9,4.3,1.7,2.5
2014,203939,BOS,Dwight Powell,PF,81.5,83.0,234.4,84.5,105.0,6.2,9.0,9.25,28.5,35.0,11.28,2.88,3.2,,0.8,1.0,0.8,0.8,0.6,,,,,,0.6,0.2,0.8,0.2,0.8,0.8333333333333334,0.5,0.6666666666666666,,,,0.6486486486486487,,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.8,0.8,0.4,0.2,0.5,0.0,0.2,1.8,0.2,0.4,0.4
2014,203944,LAL,Julius Randle,PF,79.75,81.0,249.7,84.0,105.5,9.4,8.75,8.25,29.0,35.5,11.45,3.14,3.27,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.33299999999999996,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
2014,203922,MIN,Glenn Robinson III,SF,77.5,78.75,211.4,82.0,100.5,5.05,9.0,9.5,36.5,41.5,11.22,3.04,3.15,,,,,,,0.8,0.6,0.6,0.8,0.8,0.4,0.4,0.6,0.6,0.6,1.0,0.8333333333333334,0.8333333333333334,,,,0.6410256410256411,,0.1,0.0,0.4,0.2,0.0,0.16699999999999998,1.0,0.3,0.33299999999999996,0.6,0.5,0.75,0.2,0.2,1.2,0.6,0.1,0.1
2014,203935,BOS,Marcus Smart,PG,74.0,75.25,227.2,81.25,99.0,10.55,9.0,8.75,33.0,36.0,10.82,2.96,3.26,,,,,,,,,,,,,,,,,,,,,,,,,3.1,0.3,2.4,4.1,1.4,0.335,7.1,2.6,0.36700000000000005,1.9,1.2,0.6459999999999999,0.9,2.6,7.8,3.3,1.5,1.3
2014,203893,NOP,Russ Smith,PG,71.5,72.75,160.0,75.5,95.0,3.5,8.25,8.5,29.5,34.0,11.57,3.01,3.27,,,,,,,0.6,0.8,0.6,0.6,0.4,1.0,0.6,0.2,0.2,0.6,0.6666666666666666,0.8333333333333334,0.5,,,,0.6944444444444444,,0.3,0.0,0.5,1.0,0.2,0.16699999999999998,1.7,0.3,0.2,0.0,0.0,0.0,0.0,1.0,0.8,0.5,0.0,1.2
